seqnames start end strand gene_id
15650 chr25 26124403 26299507 - ENSDARG00000070524
15651 chr17 50778266 50789896 + ENSDARG00000070526
15652 chr1 7381076 7479825 + ENSDARG00000070528
15653 chr25 26240290 26242796 - ENSDARG00000070529
15654 chr4 681199 683374 + ENSDARG00000070535
15655 chr16 22620497 22773814 - ENSDARG00000070536
15656 chr19 33016668 33035949 + ENSDARG00000070537
15657 chr19 33042965 33047694 - ENSDARG00000070538
15658 chr23 27862657 27874367 - ENSDARG00000070539
15659 chr11 26322352 26330132 + ENSDARG00000070541
15660 chr11 26316161 26317772 - ENSDARG00000070542
15661 chr1 7839804 7993986 - ENSDARG00000070543
15662 chr11 26229925 26245239 + ENSDARG00000070545
15663 chr4 16311 18281 + ENSDARG00000070546
15664 chr19 13271886 13303856 + ENSDARG00000070553
15665 chr19 13067069 13246405 + ENSDARG00000070555
15666 chr1 5503645 5509564 + ENSDARG00000070558
15667 chr25 24278958 24306456 - ENSDARG00000070560
15668 chr3 26753546 26767382 - ENSDARG00000070565
15669 chr5 67549590 67572081 + ENSDARG00000070566
15670 chr6 41186349 41376429 + ENSDARG00000070567
15671 chr3 26768643 26790754 - ENSDARG00000070568
15672 chr3 26790851 26798828 + ENSDARG00000070570
15673 chr11 25650396 25690375 + ENSDARG00000070571
15674 chr3 26812726 26823133 + ENSDARG00000070573
15675 chr16 19450852 19527792 + ENSDARG00000070575
15676 chr19 14708747 14714030 - ENSDARG00000070578
15677 chr1 2203782 2209971 - ENSDARG00000070579
15678 chr1 2210880 2214332 - ENSDARG00000070581
15679 chr17 43342243 43444826 - ENSDARG00000070583
15680 chr20 43957029 44000622 + ENSDARG00000070584
15681 chr19 30159897 30225681 - ENSDARG00000070585
15682 chr19 30254599 30259809 - ENSDARG00000070586
15683 chr19 30427164 30431682 + ENSDARG00000070588
15684 chr17 43557663 43562329 - ENSDARG00000070589
15685 chr17 43582637 43603281 - ENSDARG00000070590
15686 chr11 21910073 21920185 + ENSDARG00000070597
15687 chr17 21125147 21141428 + ENSDARG00000070598
15688 chr11 22094626 22099967 - ENSDARG00000070600
15689 chr11 22116265 22196884 - ENSDARG00000070601
15690 Zv9_scaffold3473 148972 151329 + ENSDARG00000070602
15691 chr17 21053107 21087613 + ENSDARG00000070603
15692 chr16 15730911 15741923 + ENSDARG00000070604
15693 chr3 23336455 23350529 + ENSDARG00000070605
15694 chr11 22197809 22237245 - ENSDARG00000070606
15695 chr19 28769785 28775878 + ENSDARG00000070607
15696 chr25 12845654 12882922 + ENSDARG00000070608
15697 chr6 40398426 40401385 + ENSDARG00000070611
15698 chr17 721878 728259 - ENSDARG00000070612
15699 chr6 40382134 40385973 - ENSDARG00000070617
15700 chr6 40370786 40380263 - ENSDARG00000070618
15701 chr16 14930567 15140242 - ENSDARG00000070620
15702 chr11 22419536 22431726 + ENSDARG00000070621
15703 Zv9_NA735 71526 72362 - ENSDARG00000070622
15704 chr19 28455957 28459816 + ENSDARG00000070623
15705 chr16 14714441 14755587 - ENSDARG00000070624
15706 chr20 18793471 18808441 - ENSDARG00000070625
15707 chr16 14633802 14705160 - ENSDARG00000070626
15708 chr17 39936198 39940517 - ENSDARG00000070627
15709 chr1 571415 658993 + ENSDARG00000070643
15710 chr23 26155976 26162216 + ENSDARG00000070644
15711 chr23 25796695 25799095 + ENSDARG00000070650
15712 chr11 18765410 18804817 - ENSDARG00000070651
15713 chr17 49675215 49684709 + ENSDARG00000070652
15714 chr16 13812635 13847401 - ENSDARG00000070654
15715 chr16 13802313 13810789 - ENSDARG00000070656
15716 chr23 25579230 25588814 + ENSDARG00000070657
15717 chr19 27440855 27449808 - ENSDARG00000070658
15718 chr2 53588514 53590833 - ENSDARG00000070661
15719 chr11 19516773 19518071 - ENSDARG00000070666
15720 chr16 13661904 13696146 - ENSDARG00000070668
15721 chr16 13584898 13588073 + ENSDARG00000070669
15722 chr17 37613043 37642207 - ENSDARG00000070670
15723 chr11 19910690 19921784 - ENSDARG00000070672
15724 chr17 37455370 37466913 - ENSDARG00000070673
15725 chr11 19922641 19931892 + ENSDARG00000070674
15726 chr23 25423197 25437627 + ENSDARG00000070675
15727 chr3 22558521 22560658 + ENSDARG00000070676
15728 chr11 20477076 20479751 + ENSDARG00000070677
15729 chr11 20746609 20750209 + ENSDARG00000070680
15730 chr23 24992763 25038274 + ENSDARG00000070681
15731 chr23 24980872 24986739 - ENSDARG00000070682
15732 chr25 16489636 16503907 - ENSDARG00000070683
15733 chr25 16529369 16531179 - ENSDARG00000070685
15734 chr3 21338354 21350423 - ENSDARG00000070686
15735 chr16 11427304 11491661 - ENSDARG00000070688
15736 chr3 20889059 20908455 - ENSDARG00000070689
15737 chr25 16544603 16549158 + ENSDARG00000070692
15738 chr3 20294197 20350987 + ENSDARG00000070694
15739 chr23 24289254 24289914 - ENSDARG00000070697
15740 chr11 16959290 16968922 + ENSDARG00000070698
15741 chr19 24749218 24753488 - ENSDARG00000070702
15742 chr19 24615131 24621898 - ENSDARG00000070704
15743 chr19 24609074 24611122 - ENSDARG00000070705
15744 chr11 30415872 30416933 + ENSDARG00000070709
15745 chr6 39039722 39043098 + ENSDARG00000070710
15746 chr6 39016833 39022194 + ENSDARG00000070713
15747 chr11 16403779 16406187 - ENSDARG00000070714
15748 chr25 16972234 17023942 - ENSDARG00000070717
15749 chr6 38885597 38937313 - ENSDARG00000070721
15750 chr11 13161031 13168864 - ENSDARG00000070722
15751 chr25 17129448 17139591 - ENSDARG00000070723
15752 chr11 13040192 13056332 - ENSDARG00000070724
15753 chr6 38725815 38749446 - ENSDARG00000070726
15754 chr6 38297800 38357806 - ENSDARG00000070730
15755 chr16 10922696 10925211 - ENSDARG00000070731
15756 chr25 17143039 17176034 - ENSDARG00000070734
15757 chr3 19738162 19787139 - ENSDARG00000070735
15758 chr19 24232087 24233939 - ENSDARG00000070740
15759 chr19 24034686 24037730 - ENSDARG00000070741
15760 chr6 36770133 36786048 + ENSDARG00000070743
15761 chr6 36788142 36792403 + ENSDARG00000070746
15762 chr16 8917191 8918225 + ENSDARG00000070755
15763 chr20 10910378 10917262 + ENSDARG00000070757
15764 chr17 29176137 29178472 - ENSDARG00000070769
15765 chr23 21753405 21755282 + ENSDARG00000070770
15766 chr19 23782877 23786308 + ENSDARG00000070774
15767 chr25 17753495 17760328 - ENSDARG00000070775
15768 chr25 21832520 21834494 - ENSDARG00000070778
15769 chr3 19029074 19032535 + ENSDARG00000070780
15770 chr20 10139337 10144544 - ENSDARG00000070781
15771 chr20 10244836 10252216 - ENSDARG00000070786
15772 chr11 11840951 11902608 + ENSDARG00000070787
15773 chr16 3980856 3982310 - ENSDARG00000070788
15774 chr6 36238469 36242267 + ENSDARG00000070792
15775 chr17 30428312 30476115 + ENSDARG00000070794
15776 chr16 8157901 8169135 + ENSDARG00000070795
15777 chr16 8150776 8158517 - ENSDARG00000070798
15778 chr19 22817619 22830900 - ENSDARG00000070800
15779 chr6 36498738 36573693 - ENSDARG00000070801
15780 chr3 18296653 18473426 + ENSDARG00000070804
15781 chr25 21238845 21313545 - ENSDARG00000070805
15782 chr3 18285032 18385927 + ENSDARG00000070807
15783 chr19 22180446 22248758 - ENSDARG00000070809
15784 chr16 7030820 7035044 + ENSDARG00000070810
15785 chr11 12237396 12239289 + ENSDARG00000070812
15786 chr6 29531289 29531983 - ENSDARG00000070813
15787 chr23 21151977 21226606 + ENSDARG00000070818
15788 chr3 17376816 17381225 - ENSDARG00000070822
15789 chr6 29116793 29123887 + ENSDARG00000070824
15790 chr25 20611023 20618644 + ENSDARG00000070826
15791 chr25 20605112 20610535 + ENSDARG00000070827
15792 chr6 29100524 29109500 + ENSDARG00000070828
15793 chr25 20518732 20541006 - ENSDARG00000070830
15794 chr19 20783670 20870361 - ENSDARG00000070831
15795 chr16 9349173 9433131 - ENSDARG00000070832
15796 chr17 31726735 31754367 - ENSDARG00000070833
15797 chr23 20717389 20718291 - ENSDARG00000070834
15798 chr23 20711211 20715849 + ENSDARG00000070835
15799 chr6 28725707 28800269 - ENSDARG00000070839
15800 chr11 5807748 5845520 + ENSDARG00000070843
15801 chr11 5890485 5900306 - ENSDARG00000070844
15802 chr3 15047006 15048990 - ENSDARG00000070845
15803 chr11 5915124 5958303 + ENSDARG00000070846
15804 chr22 39784974 39788222 + ENSDARG00000070847
15805 chr11 5961412 5966184 + ENSDARG00000070849
15806 chr7 3918519 3922276 - ENSDARG00000070850
15807 chr7 4030580 4033761 - ENSDARG00000070851
15808 chr7 3975903 3977468 - ENSDARG00000070852
15809 chr23 20357165 20388986 - ENSDARG00000070857
15810 chr1 46998550 47000856 - ENSDARG00000070858
15811 chr19 18859894 18921149 - ENSDARG00000070863
15812 chr6 27924715 27933778 - ENSDARG00000070864
15813 chr3 15433025 15440739 + ENSDARG00000070866
15814 chr6 27913866 27916605 + ENSDARG00000070867
15815 chr23 20265670 20270363 + ENSDARG00000070868
15816 chr19 18823184 18852567 + ENSDARG00000070870
15817 chr7 3438335 3439771 + ENSDARG00000070872
15818 chr11 6296249 6300131 - ENSDARG00000070873
15819 chr17 26656711 26668128 + ENSDARG00000070874
15820 chr19 18565712 18569879 + ENSDARG00000070881
15821 chr19 18429710 18437325 - ENSDARG00000070883
15822 chr22 41918973 41925862 - ENSDARG00000070885
15823 chr20 19008615 19015125 - ENSDARG00000070890
15824 chr22 41857811 41864865 - ENSDARG00000070892
15825 chr23 19943851 19956308 + ENSDARG00000070894
15826 chr25 25789452 25791528 - ENSDARG00000070897
15827 chr22 41841601 41846772 - ENSDARG00000070898
15828 chr19 18108945 18110675 - ENSDARG00000070899
15829 chr25 19071167 19166361 + ENSDARG00000070903
15830 chr22 37648549 37682613 - ENSDARG00000070907
15831 chr22 40333602 40335673 - ENSDARG00000070913
15832 chr25 18813588 18817793 - ENSDARG00000070914
15833 chr17 33502610 33514091 + ENSDARG00000070916
15834 chr25 18606196 18627827 - ENSDARG00000070917
15835 chr22 41188535 41199382 + ENSDARG00000070918
15836 chr11 2985132 3239759 + ENSDARG00000070919
15837 chr11 478773 484619 - ENSDARG00000070922
15838 chr23 18773905 18780193 - ENSDARG00000070923
15839 chr11 373396 381474 - ENSDARG00000070925
15840 chr6 26266207 26268149 - ENSDARG00000070929
15841 chr22 39715270 39718707 - ENSDARG00000070930
15842 chr19 10978881 10996166 - ENSDARG00000070931
15843 chr3 17181219 17185315 + ENSDARG00000070932
15844 chr11 2231155 2276000 - ENSDARG00000070939
15845 chr22 40656507 40672030 - ENSDARG00000070940
15846 chr11 2369957 2376097 + ENSDARG00000070941
15847 chr3 50168520 50175492 - ENSDARG00000070943
15848 chr3 50181248 50184915 + ENSDARG00000070945
15849 chr3 50257930 50260625 + ENSDARG00000070948
15850 chr19 10289517 10303946 + ENSDARG00000070950
15851 chr6 54097469 54108141 + ENSDARG00000070951
15852 chr19 10155544 10226651 + ENSDARG00000070952
15853 chr17 21307907 21324310 + ENSDARG00000070953
15854 chr17 21612058 21614167 - ENSDARG00000070954
15855 chr17 21620621 21623128 - ENSDARG00000070955
15856 chr3 50557497 50579636 + ENSDARG00000070956
15857 chr24 40774383 40780987 - ENSDARG00000070957
15858 chr22 40957131 40993636 - ENSDARG00000070958
15859 chr19 10077754 10082858 + ENSDARG00000070959
15860 chr19 9966707 9986878 + ENSDARG00000070960
15861 chr6 30876228 30925866 - ENSDARG00000070961
15862 chr19 9899863 9914263 + ENSDARG00000070964
15863 chr6 30395998 30400293 + ENSDARG00000070966
15864 chr25 8984259 9145186 - ENSDARG00000070971
15865 chr19 9796702 9802394 + ENSDARG00000070972
15866 chr3 51036849 51204928 - ENSDARG00000070973
15867 chr3 52716820 52728208 + ENSDARG00000070979
15868 chr19 9654609 9709318 + ENSDARG00000070981
15869 chr19 9581170 9585408 - ENSDARG00000070985
15870 chr25 8349905 8401506 - ENSDARG00000070986
15871 chr6 15505819 15541514 - ENSDARG00000070991
15872 chr6 14083485 14202930 - ENSDARG00000070995
15873 chr22 37952837 37968296 + ENSDARG00000070996
15874 chr19 8518454 8519525 + ENSDARG00000070997
15875 chr19 8461180 8483816 + ENSDARG00000071001
15876 chr17 20988536 21030458 - ENSDARG00000071004
15877 chr17 23141204 23144005 + ENSDARG00000071005
15878 chr17 23264038 23276587 - ENSDARG00000071007
15879 chr17 23300801 23339379 + ENSDARG00000071009
15880 chr19 8339985 8372731 + ENSDARG00000071010
15881 chr6 13653500 13655282 + ENSDARG00000071011
15882 chr17 23442443 23446453 - ENSDARG00000071012
15883 chr6 13254960 13286125 - ENSDARG00000071013
15884 chr19 8197677 8213598 + ENSDARG00000071014
15885 chr19 8172390 8193009 + ENSDARG00000071015
15886 chr20 849768 871377 + ENSDARG00000071017
15887 chr17 23480396 23504322 - ENSDARG00000071018
15888 chr22 33365967 33368193 - ENSDARG00000071020
15889 chr17 23510913 23539174 - ENSDARG00000071021
15890 chr22 33192230 33247578 + ENSDARG00000071024
15891 chr6 13027068 13043892 + ENSDARG00000071025
15892 chr19 8068189 8073199 - ENSDARG00000071026
15893 chr20 21705 23822 - ENSDARG00000071028
15894 chr23 17099224 17116159 + ENSDARG00000071029
15895 chr25 6265392 6297495 + ENSDARG00000071031
15896 chr6 12936368 12949735 + ENSDARG00000071032
15897 chr22 32681509 32690497 + ENSDARG00000071036
15898 chr17 23754953 23763607 + ENSDARG00000071037
15899 chr17 23906350 23907574 + ENSDARG00000071039
15900 chr20 207047 209700 - ENSDARG00000071040
15901 chr20 210798 215392 + ENSDARG00000071042
15902 chr23 16945307 16958948 + ENSDARG00000071044
15903 chr23 16931696 16939962 + ENSDARG00000071045
15904 chr22 32338529 32342031 + ENSDARG00000071046
15905 chr20 297523 305635 - ENSDARG00000071048
15906 chr20 325805 343105 + ENSDARG00000071049
15907 chr3 12416701 12418975 - ENSDARG00000071050
15908 chr22 31649433 31654797 - ENSDARG00000071051
15909 chr23 13028049 13046861 + ENSDARG00000071052
15910 chr23 13487349 13628842 + ENSDARG00000071055
15911 chr22 31445545 31446853 + ENSDARG00000071058
15912 chr22 31414989 31428551 - ENSDARG00000071059
15913 chr23 13944337 13952423 - ENSDARG00000071060
15914 chr25 3115128 3159121 - ENSDARG00000071062
15915 chr23 13956910 13989888 - ENSDARG00000071065
15916 chr25 3224700 3228997 - ENSDARG00000071070
15917 chr25 3184116 3191362 + ENSDARG00000071074
15918 chr25 3382946 3392649 + ENSDARG00000071076
15919 chr17 19977556 19997359 - ENSDARG00000071082
15920 chr22 31296432 31334323 - ENSDARG00000071083
15921 chr6 10692093 10720493 - ENSDARG00000071084
15922 chr22 29959994 29966776 + ENSDARG00000071085
15923 chr6 10669128 10691645 - ENSDARG00000071086
15924 chr25 3403522 3414009 + ENSDARG00000071087
15925 chr22 29982059 29989096 + ENSDARG00000071088
15926 chr17 19952172 19974099 - ENSDARG00000071090
15927 chr17 19661829 19793871 - ENSDARG00000071091
15928 chr22 30094342 30130582 - ENSDARG00000071095
15929 chr19 7532920 7538782 + ENSDARG00000071097
15930 chr22 30302397 30339585 - ENSDARG00000071099
15931 chr22 30433741 30452721 + ENSDARG00000071103
15932 chr3 7175286 7183510 + ENSDARG00000071105
15933 chr25 1943776 2021964 - ENSDARG00000071107
15934 chr6 10080895 10144304 - ENSDARG00000071113
15935 chr19 11761309 11805474 - ENSDARG00000071116
15936 chr22 28295985 28296452 - ENSDARG00000071135
15937 chr6 8645450 8653095 - ENSDARG00000071139
15938 chr22 27778599 27779374 - ENSDARG00000071140
15939 chr22 27833199 27833899 - ENSDARG00000071141
15940 chr22 28321707 28326374 - ENSDARG00000071143
15941 chr6 8625868 8632744 - ENSDARG00000071149
15942 chr19 6708078 6757096 - ENSDARG00000071150
15943 chr3 4143611 4172544 + ENSDARG00000071152
15944 chr6 8634360 8640300 - ENSDARG00000071155
15945 chr6 8598115 8607444 - ENSDARG00000071159
15946 chr3 2955060 2961014 - ENSDARG00000071163
15947 chr17 17595132 17605345 + ENSDARG00000071164
15948 chr13 48825490 48829705 - ENSDARG00000071165
15949 chr13 48782294 48786241 - ENSDARG00000071168
15950 chr7 4504091 4552109 + ENSDARG00000071173
15951 chr6 7803738 7805667 + ENSDARG00000071183
15952 chr17 15254651 15258456 + ENSDARG00000071192
15953 chr6 9059433 9088387 + ENSDARG00000071196
15954 chr6 9112129 9143889 - ENSDARG00000071197
15955 chr6 9198468 9204618 + ENSDARG00000071198
15956 chr17 9809279 9815695 - ENSDARG00000071203
15957 chr19 4110319 4144778 - ENSDARG00000071205
15958 chr11 40401493 40436562 - ENSDARG00000071208
15959 chr23 8375217 8464101 - ENSDARG00000071209
15960 chr11 40338666 40345902 + ENSDARG00000071211
15961 chr11 40309260 40338900 - ENSDARG00000071212
15962 chr6 9551727 9586086 + ENSDARG00000071213
15963 chr6 9597228 9818590 - ENSDARG00000071215
15964 chr19 3863324 3866524 - ENSDARG00000071216
15965 chr6 7074283 7124934 - ENSDARG00000071217
15966 chr2 3536257 3567452 + ENSDARG00000071219
15967 chr19 3805455 3806889 - ENSDARG00000071223
15968 chr19 3800319 3803134 - ENSDARG00000071224
15969 chr3 8117414 8126836 + ENSDARG00000071225
15970 chr17 13626872 13643946 + ENSDARG00000071230
15971 chr23 6864374 6900523 + ENSDARG00000071233
15972 chr23 6907022 6952736 + ENSDARG00000071235
15973 chr1 27049293 27149849 - ENSDARG00000071237
15974 chr23 6967960 6977453 - ENSDARG00000071238
15975 chr22 26034580 26067537 + ENSDARG00000071240
15976 chr23 6983964 6991222 - ENSDARG00000071241
15977 chr19 770242 775540 + ENSDARG00000071250
15978 chr19 802649 819235 + ENSDARG00000071251
15979 chr19 223209 226013 - ENSDARG00000071252
15980 chr3 5265543 5268894 - ENSDARG00000071253
15981 chr17 10644476 10674762 - ENSDARG00000071259
15982 chr23 6183588 6206403 + ENSDARG00000071261
15983 chr17 10103011 10275726 + ENSDARG00000071262
15984 chr12 49047814 49116389 + ENSDARG00000071269
15985 chr23 12651418 12719142 + ENSDARG00000071271
15986 chr23 2715644 2737144 + ENSDARG00000071272
15987 chr22 25373863 25419171 - ENSDARG00000071279
15988 chr23 542718 562158 - ENSDARG00000071288
15989 chr12 49926445 49951727 + ENSDARG00000071292
15990 chr17 8645139 8699524 + ENSDARG00000071294
15991 chr12 48724374 48730865 - ENSDARG00000071298
15992 chr14 6295900 6334071 + ENSDARG00000071304
15993 chr12 22015181 22017709 - ENSDARG00000071306
15994 chr22 19744054 19747048 + ENSDARG00000071310
15995 chr12 34784958 34788079 - ENSDARG00000071314
15996 chr12 34653625 34666399 - ENSDARG00000071319
15997 chr22 19010884 19048888 + ENSDARG00000071325
15998 Zv9_scaffold3489 50132 56511 - ENSDARG00000071326
15999 chr20 29294352 29446621 - ENSDARG00000071331
16000 chr22 18712788 18715900 - ENSDARG00000071333
16001 chr14 51224155 51229737 + ENSDARG00000071336
16002 chr22 18390686 18399465 + ENSDARG00000071339
16003 chr17 24365342 24392834 - ENSDARG00000071341
16004 chr14 49151752 49155148 + ENSDARG00000071345
16005 chr17 24398145 24415843 - ENSDARG00000071347
16006 chr14 49009361 49048343 - ENSDARG00000071353
16007 chr22 17700374 17706369 - ENSDARG00000071355
16008 chr17 24460480 24495278 + ENSDARG00000071357
16009 chr17 24509437 24512844 - ENSDARG00000071360
16010 chr22 17679741 17683689 - ENSDARG00000071361
16011 chr16 1757934 1777669 + ENSDARG00000071364
16012 chr12 46440124 46461108 - ENSDARG00000071368
16013 chr24 35952665 35954296 + ENSDARG00000071374
16014 chr22 19983966 20330015 - ENSDARG00000071375
16015 chr22 19871316 19880784 + ENSDARG00000071377
16016 chr22 19865805 19871132 - ENSDARG00000071378
16017 chr22 19822514 19823641 - ENSDARG00000071381
16018 chr14 44123870 44156360 + ENSDARG00000071384
16019 chr22 19805040 19809958 + ENSDARG00000071386
16020 chr12 37934285 37962381 + ENSDARG00000071388
16021 chr22 19772151 19773468 + ENSDARG00000071389
16022 chr12 37683214 37705557 + ENSDARG00000071393
16023 chr22 20747516 20749720 + ENSDARG00000071394
16024 chr12 35817348 35977128 + ENSDARG00000071395
16025 chr12 36272047 36276784 - ENSDARG00000071396
16026 chr14 43100896 43104083 - ENSDARG00000071397
16027 chr22 20866935 20867924 + ENSDARG00000071398
16028 Zv9_NA906 1522 82069 + ENSDARG00000071402
16029 chr22 21034970 21040773 - ENSDARG00000071403
16030 chr12 36480976 36495680 - ENSDARG00000071406
16031 chr18 33416828 33418475 + ENSDARG00000071407
16032 chr12 35462650 35469034 - ENSDARG00000071409
16033 chr22 21635106 21636634 - ENSDARG00000071410
16034 chr22 21838505 21869628 + ENSDARG00000071413
16035 chr12 34947823 34954487 - ENSDARG00000071414
16036 chr22 22272612 22278966 + ENSDARG00000071416
16037 chr24 35435371 35438473 - ENSDARG00000071418
16038 chr24 35444283 35465953 - ENSDARG00000071419
16039 chr24 35479785 35482169 - ENSDARG00000071420
16040 chr22 22533093 22595056 - ENSDARG00000071424
16041 chr12 33476480 33482041 - ENSDARG00000071425
16042 chr12 33470167 33474962 + ENSDARG00000071426
16043 chr14 37999928 38013164 - ENSDARG00000071429
16044 chr24 42241037 42252740 - ENSDARG00000071430
16045 chr24 42264601 42285123 - ENSDARG00000071433
16046 chr22 24703749 24794350 - ENSDARG00000071437
16047 chr22 24991113 24994384 - ENSDARG00000071439
16048 chr22 24316701 24352382 - ENSDARG00000071442
16049 chr12 27956277 27979907 - ENSDARG00000071445
16050 chr24 41261031 41262616 + ENSDARG00000071446
16051 chr22 23327729 23418953 - ENSDARG00000071448
16052 chr24 41189117 41210377 - ENSDARG00000071449
16053 chr22 17483850 17502695 + ENSDARG00000071450
16054 chr24 39576237 39582275 - ENSDARG00000071454
16055 chr24 39640521 39695017 - ENSDARG00000071456
16056 chr24 39633618 39634395 - ENSDARG00000071457
16057 chr22 16671780 16699864 + ENSDARG00000071458
16058 chr24 39658844 39694976 + ENSDARG00000071460
16059 chr24 39714017 39715841 - ENSDARG00000071461
16060 chr22 16605199 16622798 - ENSDARG00000071462
16061 chr24 40047939 40058679 + ENSDARG00000071463
16062 chr22 16522107 16525842 + ENSDARG00000071465
16063 chr14 34402823 34408380 + ENSDARG00000071467
16064 chr22 15865507 15866507 - ENSDARG00000071468
16065 chr5 73353436 73384498 + ENSDARG00000071469
16066 chr22 14227844 14259407 - ENSDARG00000071475
16067 chr14 33773571 33801002 + ENSDARG00000071478
16068 chr24 32359592 32473912 - ENSDARG00000071482
16069 chr21 1952470 1967162 - ENSDARG00000071487
16070 chr24 30768535 30790498 - ENSDARG00000071488
16071 chr24 29333488 29341969 - ENSDARG00000071491
16072 chr24 29348425 29360358 - ENSDARG00000071492
16073 chr24 29608812 29633701 - ENSDARG00000071493
16074 chr12 26245302 26276530 + ENSDARG00000071494
16075 chr22 15469538 15473417 + ENSDARG00000071495
16076 chr14 32892151 32895857 + ENSDARG00000071496
16077 chr14 32881568 32886494 - ENSDARG00000071497
16078 chr14 32527291 32538377 + ENSDARG00000071498
16079 chr24 28381988 28383105 + ENSDARG00000071499
16080 chr22 12838414 12865849 - ENSDARG00000071500
16081 chr24 28654200 28749436 - ENSDARG00000071501
16082 chr22 12082936 12201598 + ENSDARG00000071506
16083 chr5 53817644 53825144 - ENSDARG00000071509
16084 chr5 53911220 53925762 + ENSDARG00000071511
16085 chr22 11828930 11845123 - ENSDARG00000071518
16086 chr22 11037520 11164394 - ENSDARG00000071524
16087 chr4 42427410 42441380 - ENSDARG00000071528
16088 chr4 33720895 33728207 + ENSDARG00000071535
16089 chr22 10696446 10702026 - ENSDARG00000071541
16090 chr22 10685210 10690344 - ENSDARG00000071543
16091 chr14 31789984 31814972 - ENSDARG00000071547
16092 chr12 19932372 19939359 + ENSDARG00000071548
16093 chr22 10600765 10612930 - ENSDARG00000071549
16094 chr12 19925361 19930325 + ENSDARG00000071551
16095 chr12 19992045 19994863 - ENSDARG00000071552
16096 chr22 6879125 6887924 - ENSDARG00000071553
16097 chr22 6890229 6896350 + ENSDARG00000071554
16098 chr22 793038 797669 - ENSDARG00000071555
16099 chr22 136437 155404 + ENSDARG00000071558
16100 chr12 6057527 6066666 + ENSDARG00000071560
16101 chr14 31167099 31227101 + ENSDARG00000071562
16102 chr24 24255734 24283394 - ENSDARG00000071565
16103 chr12 14311999 14329493 + ENSDARG00000071566
16104 chr14 30639027 30643319 + ENSDARG00000071567
16105 chr22 10342677 10372591 + ENSDARG00000071570
16106 chr12 14437570 14443081 - ENSDARG00000071573
16107 chr22 10200991 10202852 + ENSDARG00000071576
16108 chr22 10176996 10180078 + ENSDARG00000071578
16109 chr24 22295224 22297094 - ENSDARG00000071579
16110 chr22 10154973 10166439 - ENSDARG00000071581
16111 chr24 22248583 22250806 + ENSDARG00000071583
16112 chr14 27555273 27568530 + ENSDARG00000071585
16113 chr14 27520139 27545602 - ENSDARG00000071586
16114 chr22 9963066 9965482 + ENSDARG00000071588
16115 chr22 9941970 9945094 - ENSDARG00000071589
16116 chr22 9917017 9924336 + ENSDARG00000071590
16117 chr12 21707632 21714554 - ENSDARG00000071592
16118 chr24 16044556 16051838 + ENSDARG00000071594
16119 chr24 15801850 16040702 + ENSDARG00000071596
16120 chr12 18763656 18766066 - ENSDARG00000071601
16121 chr22 9145756 9166045 + ENSDARG00000071604
16122 chr22 9090823 9139153 - ENSDARG00000071618
16123 chr22 8912748 8914698 + ENSDARG00000071622
16124 chr24 17570618 17572497 - ENSDARG00000071626
16125 chr22 7594300 7605384 - ENSDARG00000071629
16126 chr22 7767380 7768796 - ENSDARG00000071630
16127 chr22 7484351 7499373 - ENSDARG00000071636
16128 chr22 7231900 7438348 - ENSDARG00000071637
16129 chr14 25052883 25053974 + ENSDARG00000071640
16130 chr22 6470784 6486705 - ENSDARG00000071643
16131 chr22 6411646 6423142 - ENSDARG00000071644
16132 chr22 6266868 6286559 - ENSDARG00000071648
16133 chr22 6244949 6247241 + ENSDARG00000071651
16134 chr15 14240138 14249279 - ENSDARG00000071652
16135 chr22 4567988 4572274 - ENSDARG00000071653
16136 chr22 6072804 6084167 + ENSDARG00000071656
16137 chr22 6028979 6068515 - ENSDARG00000071657
16138 chr15 14367505 14376193 - ENSDARG00000071658
16139 chr22 5864485 5882153 - ENSDARG00000071662
16140 chr22 7959795 7964085 + ENSDARG00000071666
16141 chr22 5782547 5800164 + ENSDARG00000071667
16142 chr14 23501722 23526764 + ENSDARG00000071669
16143 chr22 5587616 5593107 + ENSDARG00000071670
16144 chr14 23470637 23481684 + ENSDARG00000071671
16145 chr22 5532111 5544027 + ENSDARG00000071672
16146 chr24 21058479 21140265 - ENSDARG00000071673
16147 chr22 1228581 1251099 - ENSDARG00000071674
16148 chr22 4839656 4848960 + ENSDARG00000071675
16149 chr22 4827861 4833890 + ENSDARG00000071676
16150 chr22 4747962 4757835 + ENSDARG00000071678
16151 chr22 4776404 4786680 + ENSDARG00000071679
16152 chr22 4764690 4771235 + ENSDARG00000071680
16153 chr22 4807604 4820299 + ENSDARG00000071682
16154 chr22 4697499 4741035 - ENSDARG00000071683
16155 chr22 4640467 4648012 - ENSDARG00000071684
16156 chr24 20141320 20246873 + ENSDARG00000071685
16157 chr12 11503762 11520747 - ENSDARG00000071691
16158 chr24 19498092 19756483 + ENSDARG00000071692
16159 chr12 11432419 11445055 - ENSDARG00000071694
16160 chr14 22040013 22043078 + ENSDARG00000071695
16161 chr14 21919968 22001855 + ENSDARG00000071697
16162 chr14 21870885 21893036 - ENSDARG00000071699
16163 chr12 10610732 10654278 - ENSDARG00000071700
16164 chr14 21902256 21909303 + ENSDARG00000071701
16165 chr12 10578632 10599251 + ENSDARG00000071703
16166 chr12 10495797 10576493 + ENSDARG00000071707
16167 chr12 10492511 10493227 - ENSDARG00000071709
